bond_dim,seed,shots,peak_probability,unique_bitstrings,peak_bitstring,majority_bitstring,pairwise_bitstring,peak_success,majority_success,pairwise_success,peak_hamming,majority_hamming,pairwise_hamming
2,1001,1024,0.0302734375,337,011110010000100010000001,011110010000100010000001,011110110000100010000001,False,False,False,3,3,4
2,1002,1024,0.025390625,342,011110110000101010001001,011110010000101010000001,100001101111011101111110,False,False,False,2,2,21
2,1003,1024,0.025390625,312,011110010000101010000000,011110110000100010001000,100001001111011101111111,False,False,False,1,2,21
2,1004,1024,0.0263671875,329,011110110000100010000000,011110110000100010000000,011110110000100010000000,False,False,False,3,3,3
2,1005,1024,0.02734375,321,011110010000100010000001,011110010000100010000001,011110010000100010000001,False,False,False,3,3,3
4,1001,1024,0.478515625,63,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
4,1002,1024,0.4599609375,62,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
4,1003,1024,0.462890625,56,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
4,1004,1024,0.462890625,61,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
4,1005,1024,0.4521484375,62,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
8,1001,1024,0.7412109375,35,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
8,1002,1024,0.740234375,35,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
8,1003,1024,0.7490234375,37,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
8,1004,1024,0.732421875,30,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
8,1005,1024,0.76171875,31,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
16,1001,1024,0.734375,41,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
16,1002,1024,0.7333984375,45,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
16,1003,1024,0.7412109375,42,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
16,1004,1024,0.7158203125,38,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
16,1005,1024,0.7509765625,36,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
32,1001,1024,0.7333984375,42,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
32,1002,1024,0.732421875,46,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
32,1003,1024,0.7412109375,42,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
32,1004,1024,0.7158203125,38,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
32,1005,1024,0.75,37,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
64,1001,1024,0.7333984375,42,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
64,1002,1024,0.732421875,46,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
64,1003,1024,0.7412109375,42,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
64,1004,1024,0.7158203125,38,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
64,1005,1024,0.75,37,011110010000101010001000,011110010000101010001000,011110010000101010001000,True,True,True,0,0,0
